source_combo_no;finish_variant;tp_target_wave_index;bot_name_src
25564;wave_pp;10;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.8_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_only;4;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_only;6;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_only;8;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_only;10;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_pp;4;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_pp;6;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_pp;8;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25691;wave_pp;10;M30_w0.26_o3_r3.0_f0.5_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmtrend_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_ext_close_trend_positions_on_bosTrue_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_only;4;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_only;6;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_only;8;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_only;10;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_pp;4;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_pp;6;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_pp;8;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
25994;wave_pp;10;M30_w0.26_o3_r3.0_f0.55_mkt_df20260101_dt20260510_tpmwave_target_n_tp_target_wave_index6_wave_extension_pct0.1_bos_entry_in_rrr_fixedTrue_w2notpTrue_w2notpi2_symbolEURUSD_sf0.85_afxshift_sl_wpTrue_exp3_extexp7_pcmnumber_pcad7_mxw1.0_max_wave_age_hours12_risk_usd500.0_contract_size100000.0_magic100001_spread0.0001_slippage0.0_wave_counter_two_sided_enabledTrue_skip_primary_entry_on_parent_wave_enableTrue_wf_enabledTrue_pp_enabledTrue_tdirTrue_thhlTrue_wave_size_sl_ladder_step_pct0.16_ext_enabledTrue_ext_secondary_enabledFalse_ext_weekend_gap_relax_factor0.76_ext_counter_enabledTrue_extct2300_ext_trade_both_sides_in_rangeTrue_ext_post_both_sides_wave_min_pct0.13_ext_post_both_sides_default_sl_pct0.1_wave_allowed_sessionsNone_wave_custom_windowNone_track_concurrent_positionsTrue_pcapoff_mpNone_NOFILT
